Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_Months,Payment_of_Min_Amount,Total_EMI_per_month,Monthly_Balance,Payment_Behaviour,Credit_Score_Category,Credit_Default
56,44109.67,2858.07,4,1,1,6,3,2,Bad,18257.01,47.47,388,Yes,1404.96,50.0,High_spent_Small_value_payments,Poor,1
69,18240.24,1117.07,5,5,0,9,3,6,Bad,2030.71,69.07,285,Yes,146.08,359.42,Low_spent_Large_value_payments,Poor,1
46,38220.44,2639.76,2,2,2,4,3,6,Standard,3670.1,12.15,111,No,136.07,1612.92,Low_spent_Large_value_payments,Standard,1
32,15000.0,904.49,3,9,1,1,5,1,Bad,5653.18,57.91,119,Yes,504.43,54.38,High_spent_Large_value_payments,Poor,1
60,32463.2,2241.09,5,3,2,1,1,2,Standard,4063.12,16.88,403,Yes,174.5,1198.54,Low_spent_Medium_value_payments,Good,1
25,15000.0,922.8,5,6,1,0,3,3,Standard,1924.54,29.85,68,No,136.7,254.24,High_spent_Large_value_payments,Standard,1
38,74876.6,5211.74,5,2,2,0,1,0,Good,20014.82,29.93,91,No,826.63,2673.64,Low_spent_Large_value_payments,Good,0
56,57898.36,3931.64,3,5,4,11,5,4,Bad,9368.7,23.62,257,Yes,168.14,2153.22,Low_spent_Small_value_payments,Poor,1
36,48050.25,2968.73,6,5,1,0,1,1,Bad,20955.8,30.53,65,No,1679.77,50.0,Low_spent_Small_value_payments,Poor,1
40,90454.64,5981.74,7,5,2,3,1,1,Good,20734.37,13.58,53,No,775.13,2756.77,High_spent_Large_value_payments,Good,0
28,20550.7,1302.65,2,4,0,0,0,3,Good,3140.53,35.94,34,Yes,260.52,369.32,Low_spent_Large_value_payments,Standard,0
28,103612.98,6416.84,5,4,2,0,1,6,Standard,8119.11,18.78,93,Yes,387.45,2975.07,Low_spent_Small_value_payments,Good,0
41,63533.01,4403.33,5,6,1,2,2,7,Standard,20190.75,48.49,151,No,1546.41,724.69,High_spent_Small_value_payments,Poor,1
53,31510.21,2028.36,5,8,3,0,2,1,Good,5917.04,21.8,159,Yes,195.44,738.63,High_spent_Small_value_payments,Good,0
57,71780.78,4616.76,7,8,2,10,4,6,Bad,13403.78,10.65,418,No,558.24,1890.35,Low_spent_Medium_value_payments,Standard,0
41,18698.97,1156.35,4,6,0,0,1,4,Standard,3116.47,9.35,118,No,225.86,401.29,High_spent_Medium_value_payments,Good,0
20,22143.33,1420.49,4,7,1,6,1,2,Standard,6145.5,66.42,13,Yes,546.34,193.02,High_spent_Small_value_payments,Poor,1
39,25206.22,1750.38,6,3,0,9,3,2,Bad,4022.59,53.46,155,No,384.38,316.02,High_spent_Large_value_payments,Poor,1
19,26439.47,1690.38,3,2,2,2,0,4,Standard,1690.04,37.23,6,Yes,69.82,655.41,Low_spent_Large_value_payments,Poor,0
41,19265.39,1354.53,2,6,1,0,1,6,Standard,3035.18,41.65,92,No,292.49,577.36,High_spent_Small_value_payments,Poor,1
61,75648.27,5314.42,3,4,3,0,2,5,Standard,21711.75,19.21,448,Yes,668.8,2509.31,Low_spent_Small_value_payments,Good,0
47,31091.43,1914.29,5,7,4,14,6,3,Standard,4678.76,5.87,190,No,82.44,1249.51,Low_spent_Small_value_payments,Standard,0
55,44869.03,2778.33,4,2,4,4,3,6,Standard,27412.8,37.96,183,Yes,652.19,1167.82,High_spent_Small_value_payments,Poor,1
19,25791.21,1788.51,2,6,3,0,1,1,Standard,12575.23,13.58,6,Yes,295.4,558.24,High_spent_Large_value_payments,Standard,0
38,15000.0,963.82,6,4,4,4,3,2,Good,1325.86,59.42,54,Yes,26.36,463.76,Low_spent_Medium_value_payments,Poor,1
50,42703.43,2564.23,2,5,0,0,1,4,Standard,14275.95,39.12,329,No,1394.88,50.0,High_spent_Small_value_payments,Standard,0
29,15000.0,944.5,6,6,3,3,2,2,Bad,4560.72,18.49,47,Yes,114.97,349.55,High_spent_Medium_value_payments,Poor,1
39,34850.39,2316.66,3,4,0,10,3,1,Bad,5869.5,41.36,131,Yes,393.13,1145.26,High_spent_Small_value_payments,Poor,1
61,15978.69,1097.08,2,4,3,3,2,5,Good,3376.38,14.33,116,No,91.06,439.15,High_spent_Medium_value_payments,Good,1
42,119654.73,7352.19,5,4,2,2,3,3,Standard,39670.38,26.98,217,Yes,1944.74,2984.03,Low_spent_Small_value_payments,Standard,0
66,62743.96,3839.78,3,6,3,1,1,2,Good,14761.07,47.71,229,No,397.64,1584.69,High_spent_Small_value_payments,Good,0
44,38694.48,2708.2,4,6,3,2,3,2,Bad,9470.21,56.8,271,Yes,221.75,1098.98,High_spent_Large_value_payments,Poor,1
59,77514.79,5281.66,3,3,3,11,4,1,Good,30762.8,9.24,379,Yes,827.09,1726.2,High_spent_Small_value_payments,Good,0
45,21855.56,1450.97,2,5,2,1,1,2,Bad,3444.31,15.39,257,No,171.46,590.51,High_spent_Large_value_payments,Standard,0
33,50316.46,3438.27,4,6,1,2,0,5,Bad,12099.06,26.78,61,Yes,888.04,694.73,Low_spent_Large_value_payments,Poor,1
32,40940.96,2646.67,5,12,1,7,3,2,Standard,12595.97,20.12,56,No,1223.35,509.06,Low_spent_Small_value_payments,Poor,0
64,42549.02,2902.55,3,5,3,0,1,3,Good,10422.71,52.84,346,Yes,245.35,984.15,High_spent_Small_value_payments,Good,1
68,77917.99,4988.92,4,1,1,4,2,0,Good,17537.08,39.43,170,Yes,1231.98,1004.66,High_spent_Small_value_payments,Standard,0
61,56358.89,3530.57,5,6,0,0,1,2,Bad,11525.59,50.67,450,Yes,786.92,1514.58,Low_spent_Medium_value_payments,Standard,1
69,43184.38,2932.12,7,5,0,0,6,2,Standard,22896.86,25.87,163,No,1649.15,50.0,High_spent_Large_value_payments,Poor,0
20,15000.0,968.2,3,2,2,2,3,2,Bad,4295.07,34.27,16,Yes,210.6,305.63,Low_spent_Large_value_payments,Poor,1
54,20413.92,1441.87,6,10,4,1,1,3,Good,1513.15,10.89,135,Yes,35.58,949.81,Low_spent_Large_value_payments,Good,0
68,33737.82,2152.0,3,1,1,0,4,4,Bad,8049.3,11.37,380,No,626.11,374.38,High_spent_Small_value_payments,Standard,1
24,38408.09,2688.0,5,8,2,7,5,4,Standard,5042.38,23.13,58,Yes,179.78,1050.19,Low_spent_Small_value_payments,Poor,1
38,18432.63,1292.26,3,3,2,5,3,5,Standard,8711.19,23.85,82,Yes,371.8,159.12,High_spent_Medium_value_payments,Poor,1
26,154354.32,9665.68,2,6,3,10,2,3,Standard,47313.43,19.17,27,Yes,1116.29,3999.13,Low_spent_Medium_value_payments,Standard,1
56,90204.67,6192.32,8,3,2,1,2,4,Bad,56228.5,22.46,292,No,2506.23,686.63,Low_spent_Medium_value_payments,Poor,0
35,52118.28,3371.62,4,4,4,3,5,0,Good,19047.23,22.95,54,No,457.65,1810.69,Low_spent_Large_value_payments,Good,0
21,37919.55,2652.09,7,5,3,22,6,6,Bad,6098.4,48.16,29,Yes,170.97,1369.58,Low_spent_Large_value_payments,Poor,1
42,31973.88,2074.35,7,4,2,3,1,2,Bad,13746.22,38.98,236,Yes,511.33,485.53,High_spent_Medium_value_payments,Poor,1
31,20513.71,1396.23,8,5,2,3,1,4,Standard,5116.59,17.59,115,Yes,197.38,572.04,High_spent_Large_value_payments,Standard,0
67,38043.61,2475.07,4,6,2,0,1,2,Standard,3563.17,8.49,276,No,141.46,1508.63,Low_spent_Medium_value_payments,Good,0
26,42389.31,2647.97,5,3,0,8,3,6,Standard,15498.91,6.59,46,No,1529.32,50.0,High_spent_Small_value_payments,Poor,1
43,17239.24,1071.58,5,6,0,3,4,1,Good,1391.41,25.97,104,Yes,132.65,420.63,Low_spent_Small_value_payments,Standard,1
19,44378.3,2867.23,2,9,6,1,1,4,Standard,17100.17,21.67,7,Yes,241.84,1755.8,Low_spent_Medium_value_payments,Poor,1
37,33085.31,2255.91,10,5,3,6,1,4,Standard,9636.44,41.21,57,Yes,287.31,707.93,High_spent_Medium_value_payments,Poor,1
45,15000.0,998.32,3,6,3,3,2,3,Standard,3193.03,25.93,236,No,74.42,592.06,Low_spent_Small_value_payments,Standard,0
64,21671.84,1461.99,2,5,1,18,6,0,Standard,8482.41,11.54,186,No,617.15,50.0,High_spent_Small_value_payments,Poor,1
