sample_id,file_path,relative_path,emotion,sample_rate,duration_seconds
1,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_001.wav,neutral\neutral_001.wav,neutral,22050,2.5
2,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_002.wav,neutral\neutral_002.wav,neutral,22050,2.5
3,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_003.wav,neutral\neutral_003.wav,neutral,22050,2.5
4,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_004.wav,neutral\neutral_004.wav,neutral,22050,2.5
5,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_005.wav,neutral\neutral_005.wav,neutral,22050,2.5
6,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_006.wav,neutral\neutral_006.wav,neutral,22050,2.5
7,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_007.wav,neutral\neutral_007.wav,neutral,22050,2.5
8,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_008.wav,neutral\neutral_008.wav,neutral,22050,2.5
9,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_009.wav,neutral\neutral_009.wav,neutral,22050,2.5
10,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_010.wav,neutral\neutral_010.wav,neutral,22050,2.5
11,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_011.wav,neutral\neutral_011.wav,neutral,22050,2.5
12,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_012.wav,neutral\neutral_012.wav,neutral,22050,2.5
13,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_013.wav,neutral\neutral_013.wav,neutral,22050,2.5
14,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_014.wav,neutral\neutral_014.wav,neutral,22050,2.5
15,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_015.wav,neutral\neutral_015.wav,neutral,22050,2.5
16,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_016.wav,neutral\neutral_016.wav,neutral,22050,2.5
17,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_017.wav,neutral\neutral_017.wav,neutral,22050,2.5
18,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_018.wav,neutral\neutral_018.wav,neutral,22050,2.5
19,D:\Intern tasks\Task2_Emotion_Recognition_from_Speech\data\audio_samples\neutral\neutral_019.wav,neutral\neutral_019.wav,neutral,22050,2.5
